SMILES,pIC50 (IC50 in microM),logP,MolecularWeight,RotatableBonds,AromaticProportion,TPSA,RingCount,HBA,HBD
CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O,-1.2509077,1.2663000000000002,322.09872805599997,2,0.5333333333333333,74.76,3,4,0
IC1=CC=C2N(CC3=CC=C(S3)C(=O)N3CCCCC3)C(=O)C(=O)C2=C1,-1.243038049,3.708300000000002,480.00046140399996,3,0.6842105263157895,57.690000000000005,4,4,0
CC(=O)C1=CC=CC=C1S(=O)(=O)C1=CC=CC=C1C(O)=O,-1.204119983,2.4202000000000004,304.04054448399995,4,0.9333333333333333,88.50999999999999,2,4,1
CC1(C)CC2=C(SC(NCC3=CC=CO3)=C2C(=O)C1)C#N,-1.204119983,3.979980000000003,300.093248752,3,0.625,66.03,3,5,1
OC(=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,-1.204119983,3.448200000000001,433.845918556,3,1.0,91.67,2,4,2
FC(F)(F)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,-1.176091259,6.855000000000002,524.008836676,6,0.9090909090909091,80.91000000000001,4,6,1
CSC1=NNC(NC(=O)C2=CC=CS2)=C1S(=O)(=O)C1=CC=C(Cl)C=C1,-1.176091259,3.931600000000002,412.97293192399997,5,0.9333333333333333,91.91999999999999,3,6,2
[O-][N+](=O)C1=C[N+]([O-])=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,-1.176091259,1.7144000000000001,313.97642000400003,3,1.0,104.22,2,5,0
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=CC=CC=C2)C=C1,-1.176091259,5.182800000000003,422.06042440000004,6,0.9523809523809523,80.91000000000001,4,6,1
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=C(Cl)C=CC=C2)C=C1,-1.176091259,5.8362000000000025,456.021452048,6,0.9523809523809523,80.91000000000001,4,6,1
CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,-1.158362492,3.2910200000000023,278.094294308,0,0.7777777777777778,43.370000000000005,4,3,0
CC1=NC(=CS1)C1=NC(=CS1)C1=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=NC=C1,-1.146128036,5.416220000000003,459.004900748,6,0.8947368421052632,80.66,4,8,1
O=C1N(CC2=CC=CC=C2)C2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,-1.14176323,1.437,386.09364267599994,4,0.736842105263158,83.99000000000001,4,5,0
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCN(CCC2=CC=CC=C2)CC1,-1.14176323,4.118300000000004,539.187877408,7,0.7741935483870968,78.0,6,5,0
O=C1N(CC2=CC3=CC=CC=C3S2)C2=CC=CC=C2C1=O,-1.117602692,3.6308000000000025,293.051049592,2,0.9411764705882353,37.38,4,3,0
CC1=C(C(C)=C(C#N)C(=N1)S(=O)(=O)C1=CC=CC=C1)[N+]([O-])=O,-1.113943352,2.3111200000000007,317.04702683200003,3,0.8571428571428572,113.96000000000001,2,6,0
CC1=CC=C(C=C1)S(=O)(=O)C1=NC(C)=C(C(C)=C1C#N)[N+]([O-])=O,-1.113943352,2.6195400000000006,331.062676896,3,0.8,113.96000000000001,2,6,0
O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,-1.102433706,-0.15770000000000017,296.04669248399995,2,0.6666666666666667,92.78,3,5,1
ClC1=CC=C(NC(=O)C2=CC=C(CN3C(=O)C(=O)C4=CC(I)=CC=C34)S2)C=C1,-1.099335278,4.987900000000002,521.9301889239999,4,0.95,66.48,4,4,1
[O-][N+](=O)C1=CC(=CC=C1S(=O)(=O)C1=CC=C(Cl)C=C1)C(F)(F)F,-1.079181246,4.099800000000001,364.97364104400003,3,0.9230769230769231,77.28,2,4,0
CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCN(C)CC1,-1.072984745,-0.21819999999999928,323.093977024,2,0.5714285714285714,78.0,3,5,0
ClC1=C2C(=O)C(=O)N(CC3=CC4=CC=CC=C4S3)C2=CC=C1,-1.049218023,4.284200000000002,327.01207724,2,0.9411764705882353,37.38,4,3,0
CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1.041392685,7.051540000000005,518.013022908,7,0.8181818181818181,67.77000000000001,4,8,1
O=C(N1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1)C1=CC=CO1,-1.003029471,0.5610999999999988,389.0681562,3,0.7647058823529411,116.99999999999999,4,6,1
CN1N=C(C=C1C(F)(F)F)C1=CC=C(S1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,-1,6.008600000000003,509.03586444,6,0.8571428571428572,72.7,4,7,1
CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCOCC1,-0.996073654,-0.13339999999999996,310.062342548,2,0.6153846153846154,83.99000000000001,3,5,0
FC1=CC(Cl)=C(CN2C(=O)C(=O)C3=CC(I)=CC=C23)C=C1,-0.973127854,3.813200000000002,414.927232396,2,0.9333333333333333,37.38,3,2,0
CC1=C(CN2C(=O)C(=O)C3=CC(=CC=C23)C#N)C(C)=NO1,-0.857332496,1.89262,281.080041212,2,0.8,87.2,3,5,0
NC1=NC=C(C(N)=N1)S(=O)(=O)C1=CC=C(Cl)C=C1,-0.77815125,1.1271999999999998,284.01347420800005,2,1.0,111.95999999999998,2,6,2
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCN(CC1)C1=CC=CC=N1,-0.741939078,3.4752000000000027,512.151826248,5,0.8214285714285714,90.89,6,6,0
CN1N=C(C=C1C1=CC=C(S1)C(=O)NC1=C(C(C)=NO1)[N+]([O-])=O)C(F)(F)F,-0.698970004,3.6243200000000018,401.04055945999994,4,0.7857142857142857,116.09,3,8,1
FC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,-0.683047038,3.7699000000000016,311.04162778,2,0.9411764705882353,37.38,4,3,0
CC1CC(C)CN(C1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,-0.672097858,4.2359000000000036,462.16132831199997,4,0.6923076923076923,74.76,5,4,0
CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,-0.633468456,1.488,322.09872805599997,2,0.5333333333333333,83.55000000000001,3,4,1
ClC1=CC(NC(=O)CSC2=NC=CC(=N2)C2=CSC(=N2)C2=CC=CC=C2)=CC(Cl)=C1,-0.477121255,6.304700000000003,471.99860842800007,6,0.9523809523809523,67.77000000000001,4,6,1
FC(F)(F)C1=NN=C(N1)SC(=O)C1=CC=C(O1)C#CC1=CC=CC=C1,-0.477121255,3.748800000000002,363.028932156,2,0.9375,71.78,3,5,1
CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-0.450249108,3.0827000000000018,412.14567824799997,4,0.6363636363636364,74.76,4,4,0
[O-][N+](=O)C1=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=CC=C1,-0.301029996,3.5390000000000015,338.0361278,3,0.9411764705882353,80.52000000000001,4,5,0
CC1CCN(CC1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,-0.227886705,3.989900000000003,448.14567824799997,4,0.72,74.76,5,4,0
CC1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,-0.071882007,1.242,308.08307799199997,2,0.5714285714285714,83.55000000000001,3,4,1
CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,-0.017033339,2.8367000000000013,398.13002818399997,4,0.6666666666666667,74.76,4,4,0
BrC1=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=CC=C1,0.008773924,4.393300000000002,370.96156166,2,0.9411764705882353,37.38,4,3,0
IC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,0.022276395,4.235400000000002,418.94769756,2,0.9411764705882353,37.38,4,3,0
ClC1=CC(OC(=O)C2=CN=CC=C2)=CN=C1,0.156767222,2.3491999999999997,234.019605144,2,1.0,52.08,2,4,0
[O-][N+](=O)C1=CC=CC(=C1)C(=O)OC1=CN=CC(Cl)=C1,0.164943898,2.862400000000001,278.00943438400003,3,1.0,82.33,2,5,0
[O-][N+](=O)C1=CC=CC(=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,0.301029996,4.122400000000002,344.01999906800006,4,1.0,95.47,3,6,0
[O-][N+](=O)C1=C(C=CC=C1)C(=O)OC1=CN=CC(Cl)=C1,0.477555766,2.862400000000001,278.00943438400003,3,1.0,82.33,2,5,0
CC1=C(Cl)C=C(Cl)C(=C1)S(=O)(=O)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.522878745,4.969820000000002,457.93539696399995,4,0.8571428571428572,120.42000000000002,2,6,0
[O-][N+](=O)C1=C(C=CC=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,0.681936665,4.122400000000002,344.01999906800006,4,1.0,95.47,3,6,0
ClC1=CC(OC(=O)C2=CC=NC=C2)=CN=C1,0.785156152,2.3491999999999997,234.019605144,2,1.0,52.08,2,4,0
ClC1=CC(OC(=O)C2=CC3=C(OC2=O)C=CC=C3)=CN=C1,0.966576245,3.060600000000001,301.01418541600003,2,1.0,69.4,3,5,0
